"No.","Time","Source","Destination","Protocol","Length","Info","cluster","illuminance","colory"
"1","0.000000","0x0000","Broadcast","ZigBee ZDP","108","Permit Join Request","","",""
"2","0.483754","0x0000","Broadcast","ZigBee ZDP","108","Permit Join Request","","",""
"3","0.961127","0x0000","Broadcast","ZigBee ZDP","108","Permit Join Request","","",""
"4","2.736260","0x0000","Broadcast","ZigBee","107","Link Status","","",""
"5","4.504628","0x187f","Broadcast","ZigBee","107","Link Status","","",""
"6","5.009651","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"7","5.265483","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"8","5.519441","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"9","5.773294","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"10","6.027415","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"11","7.560889","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"12","7.816474","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"13","8.070755","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"14","8.324873","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"15","8.578441","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"16","8.835985","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"17","9.091440","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"18","9.345571","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"19","9.599780","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"20","9.853919","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"21","10.193791","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"22","10.449853","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"23","10.703882","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"24","10.957567","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"25","11.212373","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"26","11.478859","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"27","11.734658","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"28","11.867176","0x0000","Broadcast","ZigBee","107","Link Status","","",""
"29","11.988900","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"30","12.242613","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"31","12.496537","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"32","12.823857","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"33","13.079881","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"34","13.333590","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"35","13.587713","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"36","13.841604","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"37","15.878955","0x187f","Broadcast","ZigBee","107","Link Status","","",""
"38","16.383840","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"39","16.639693","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"40","16.894295","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"41","17.148093","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"42","17.402187","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"43","18.500170","0x0000","Broadcast","ZigBee","107","Link Status","","",""
"44","18.935034","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"45","19.191331","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"46","19.444859","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"47","19.699000","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"48","19.953021","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"49","20.336390","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"50","20.591982","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"51","21.721972","0x187f","Broadcast","ZigBee","107","Link Status","","",""
"52","22.226859","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"53","22.482713","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"54","22.737315","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"55","22.991111","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"56","23.245205","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"57","24.778043","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"58","25.034284","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"59","25.287815","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"60","25.541942","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"61","25.796058","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"62","26.068548","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"63","26.323994","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"64","26.577868","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"65","26.832184","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"66","27.086519","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"67","27.422301","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"68","27.678152","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"69","27.932236","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"70","28.185930","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"71","28.250324","0x0000","Broadcast","ZigBee","107","Link Status","","",""
"72","28.440235","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"73","28.699511","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"74","28.955345","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"75","29.208943","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"76","29.463276","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"77","29.717227","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"78","29.810237","0x0000","Broadcast","ZigBee","111","Many-to-One Route Request, Dst: 0xfffc, Src: 0x0000","","",""
"79","30.040651","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"80","30.296188","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"81","30.550448","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"82","30.804379","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"83","31.058085","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"84","31.384729","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"85","31.640584","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"86","31.894050","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"87","32.148000","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"88","32.402580","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"89","34.265973","0x0000","Broadcast","ZigBee","107","Link Status","","",""
"90","36.724791","0x187f","Broadcast","ZigBee","107","Link Status","","",""
"91","41.356409","","Broadcast","IEEE 802.15.4","70","Beacon Request","","",""
"92","41.364324","0x0000","","ZigBee","88","Beacon, Src: 0x0000, EPID: c9:74:ba:e8:24:f2:ff:03","","",""
"93","41.409501","0x0000","","ZigBee","88","Beacon, Src: 0x0000, EPID: a1:2b:3f:12:57:e4:63:74","","",""
"94","43.536193","0x0000","Broadcast","ZigBee","107","Link Status","","",""
"95","43.911764","0x187f","Broadcast","ZigBee","107","Link Status","","",""
"96","44.416566","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"97","44.671729","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"98","44.925661","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"99","45.180156","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"100","45.433588","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"101","46.967783","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"102","47.224055","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"103","47.478593","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"104","47.732837","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
"105","47.986772","0x187f","Broadcast","ZigBee","111","Route Request, Dst: 0x0000, Src: 0x187f","","",""
